Thenglish,English,Hindi
vanakkam,hello,नमस्ते
eppadi irukka,how are you?,आप कैसे हैं?
sari,okay,ठीक है
nalla irukka,are you fine?,क्या आप ठीक हैं?
ennai puriya,understand me,मुझे समझें
neenga yaar,who are you?,आप कौन हैं?
thodarum,next,अगला
intha enna,what is this?,यह क्या है?
ennoda per,my name is,मेरा नाम है
kavalai padaadhe,don’t worry,चिंता मत करो
enakku enna venum,what do I want?,मुझे क्या चाहिए?
unga enna,what about you?,आपके बारे में?
entha idam,which place?,कौन सा स्थान?
yenna panringa?,what are you doing?,आप क्या कर रहे हैं?
yengathu?,where is it?,यह कहाँ है?
eppadi seyyalam?,how to do?,कैसे करना है?
enakku thonum,I feel like,मुझे ऐसा लगता है
enna solla poringa?,what will you say?,आप क्या कहेंगे?
kaadhal,love,प्यार
thangam,golden,सोने सा
paniyaram,dumplings,डंपलिंग
maadu,cow,गाय
oru,one,एक
rendu,two,दो
moondru,three,तीन
kili,bird,पक्षी
kadalai,peanut,मूंगफली
manjal,turmeric,हल्दी
puli,tamarind,इमली
kothu,chopped,कटे हुए
soru,food,खाना
kuttu,flour,आटा
ilam,young,युवा
veppam,bitter,कड़वा
sambhar,sambar,सांभर
idli,idli,इडली
dosa,dosa,डोसा
chai,tea,चाय
coffee,coffee,कॉफी
kothu parotta,chopped flatbread,कटी हुई पराठा
payasam,dessert,खीर
thakkali satham,tomato rice,टमाटर चावल
curd,curd,दही
idha kooda,with this,इसके साथ
veedhikku,to the house,घर की ओर
kolai idam,murder place,हत्या स्थल
pazhaya veedu,old house,पुराना घर
sarakku veedu,warehouse,गोडाम
adiyarkal,temple,मंदिर
sathiyam,truth,सत्य
sandhosham,happy,खुश
varutham,anger,गुस्सा
thinam,sadness,उदासी
shantham,peace,शांति
thunai,support,समर्थन
vishayam,matter,मामला
kanavu,dream,स्वप्न
poda,go away,चले जाओ
naanga,we,हम
neenga,you,आप
pala,many,बहुत से
pothu,common,सामान्य
tharuma,give,देना
kadal,sea,समुद्र
nilai,status,स्थिति
adiyam,floor,फर्श
oru maari,one time,एक बार
vannam,color,रंग
nalla,good,अच्छा
kannadi,mirror,आईना
pattam,flag,झंडा
thene,honey,शहद
thalai,head,सिर
oru thadava,one chance,एक मौका
aadai,turtle,कछुआ
varaiyam,limit,सीमा
thunaiyaga,as a companion,साथी के रूप में
kaadu,forest,जंगल
kalai,art,कला
aamaam,yes,हाँ
illa,no,नहीं
varuven,I will come,मैं आऊँगा
poi sollaadhe,don’t lie,झूठ मत बोलो
kelvi ketkiren,I am asking a question,मैं एक सवाल पूछ रहा हूँ
evvalavu neram aagum?,how long will it take?,कितना समय लगेगा?
ethana per irukka?,how many people are there?,कितने लोग हैं?
enna seyyalaam?,what should we do?,हमें क्या करना चाहिए?
epodhu varuveenga?,when will you come?,आप कब आएँगे?
kann,eye,आँख
vaai,mouth,मुंह
kaadhu,ear,कान
kaigal,hands,हाथ
adhuvum,that too,वह भी
rasam,soupy dish,रसम
chapathi,chapati,चपाती
meen curry,fish curry,मछली करी
murukku,crispy snack,मुरुक्कु
paal,milk,दूध
kizhakku,east,पूर्व
mela,west,पश्चिम
vadakku,north,उत्तर
therku,south,दक्षिण
paguthi,region,क्षेत्र
magizhchi,happiness,खुशी
anpu,love,प्रेम
acham,fear,डर
porattam,struggle,संघर्ष
sollamai,silence,मौन
kattayam,definitely,निश्चित रूप से
vilayaatu,game,खेल
saadharanam,simple,सरल
paarvai,view,दृश्य
vettai,hunt,शिकार
oru kadha,a story,एक कहानी
thooram,far,दूर
athigam,more,ज्यादा
veli,outside,बाहर
karpithal,teaching,शिक्षा
podhuma?,is that enough?,क्या वह काफी है?
ippo vendam,I don’t need it now,मुझे अभी इसकी जरूरत नहीं है
azhaga irukku,it looks beautiful,यह सुंदर लग रहा है
nandri,thank you,धन्यवाद
yenakku puriyala,I don’t understand,मुझे समझ नहीं आया
eppothum,always,हमेशा
pogalam,shall we go?,हम चलें?
unnai virumburen,I love you,मैं तुमसे प्यार करता हूँ
mudiyum,can do,कर सकते हैं
saerndhu sei,join together,साथ में काम करो
enakku idhu thevaiya?,do I need this?,क्या मुझे इसकी ज़रूरत है?
enga irukkiraanga?,where are they?,वे कहाँ हैं?
enna seivathu?,what to do?,क्या करना है?
enna than paesureenga?,what are you talking about?,आप किस बारे में बात कर रहे हैं?
nethu edhuvume nadakkala?,did nothing happen yesterday?,कल कुछ भी नहीं हुआ?
manjal poochi,yellow insect,पीला कीड़ा
thunai kadavul,guardian deity,रक्षक देवता
kodiyam,symbol,प्रतीक
vaasal,entrance,प्रवेश
mutham,kiss,चुंबन
kuzhambu,gravy,कुलम्बु
urundai,ball,गेंद
panneer,cheese,पनीर
pachai,green,हरा
nei,ghee,घी
nagaram,city,शहर
oor,village,गाँव
kani thottam,fruit garden,फल बगीचा
arasu,government,सरकार
kovil,temple,मंदिर
asai,desire,इच्छा
kashtam,trouble,मुश्किल
anandham,happiness,खुशी
acharyam,astonishment,आश्चर्य
adiyaan,devotee,भक्त
kaalam,time,समय
pazhakkam,traditional,पारंपरिक
selavu,expense,खर्च
kai eduththu,pick up,उठाओ
vaazhvathu,to live,जीना
ulagam kooda,along with the world,दुनिया के साथ
azhagiya,beautiful,सुंदर
soli irukka,keep talking,बातें करते रहो
ottikittu pogudhu,going quickly,तेज़ी से जा रहा है
vittu vidu,let go,छोड़ दो
namakku ethavathu venduma?,do we need anything?,क्या हमें कुछ चाहिए?
eduththu kodu,give it,इसे दे दो
appadiya?,really?,सच में?
therinjaa sollu,tell if you know,"अगर आपको पता है, तो बताओ"
pudi vaaya,hold the mouth,मुँह पकड़ो
maram,tree,पेड़
poo,flower,फूल
nari,fox,लोमड़ी
aadu,goat,बकरी
siruthai,tiger,बाघ
appan,father,पिता
amma,mother,माँ
anna,elder brother,बड़ा भाई
thangai,younger sister,छोटी बहन
thambi,younger brother,छोटा भाई
kathai sollu,tell a story,कहानी सुनाओ
velai paakku,look for a job,नौकरी ढूंढो
vilaiyattu aadunga,play a game,खेल खेलो
oviyam varai,draw a picture,तस्वीर बनाओ
padam paarkanum,watch a movie,फिल्म देखना
table,table,मेज
pakkam,direction,दिशा
vaththalai,fan,पंखा
pen,pen,कलम
kavini,belt,बेल्ट
vandi,vehicle,वाहन
nadu theru,main street,मुख्य सड़क
bus stand,bus stop,बस स्टैंड
train,train,ट्रेन
auto,auto rickshaw,ऑटो रिक्शा
odu,run,दौड़ना
aadhu,dance,नृत्य करना
padi,study,पढ़ाई करना
thooku,lift,उठाना
paduththu,lie down,लेटना
pidikkuthu,I like it,मुझे यह पसंद है
vittuten,I let it go,मैंने इसे जाने दिया
azhaga irundhadhu,it was beautiful,यह सुंदर था
